ID,Gene,Variation,Class
2166,PTEN,y174n,4
1936,CARD11,g116s,7
1418,FGFR3,amplification,7
3029,KIT,y553n,2
1881,MTOR,a2034v,2
706,ERBB2,t798m,2
927,PDGFRA,etv6-pdgfra fusion,7
1668,FLT3,s451f,7
1272,PIK3R2,n561d,7
1197,PIK3CA,a1066v,5
741,ERBB2,l726i,7
1760,IDH1,h133q,5
2052,MYC,pvt1-myc fusion,2
2748,BRAF,amplification,7
50,PTPRT,a209t,1
511,TP53,g245a,1
353,EP300,y1414c,4
1271,PIK3R2,amplification,2
3062,MED12,exon 2 mutations,2
1043,TSC2,l493p,7
462,TP53,g266r,4
81,CCND3,i290r,2
2578,BRCA1,g1656d,1
2206,PTEN,t131s,3
1148,MET,963_d1010splice,7
1533,ALK,ranbp1-alk fusion,7
1107,MEN1,deletion,4
1023,TSC2,v705m,4
2351,AURKA,amplification,7
1712,POLE,s279y,1
2401,NF1,r1276p,4
421,TP53,c277r,1
2740,BRAF,l584f,6
3313,RUNX1,h78q,4
678,CDKN2A,p81t,4
2769,BRAF,n581y,2
1689,PMS2,g857a,5
1110,FANCA,truncating mutations,1
1260,PIK3R1,r574fs,4
533,TP53BP1,deletion,1
260,EGFR,r841k,1
2781,BRCA2,g2748d,1
2813,BRCA2,r2502h,6
2218,PTEN,c124r,4
1642,FLT3,n676k,7
25,CBL,h398y,4
271,EGFR,p596l,2
1971,CTNNB1,s45a,7
89,TGFBR1,n45s,4
1994,MAP2K1,i111a,2
2053,MYC,igl-myc fusion,7
2157,PTEN,a121v,3
1505,KDM6A,truncating mutations,1
3144,KRAS,a18d,7
1648,FLT3,y591d,7
986,ETV6,385_418del,4
2633,BRCA1,q12y,6
1587,FOXO1,t24a,1
1861,MTOR,i2500f,7
2579,BRCA1,g1763v,1
323,ROS1,v2098i,2
2555,BRCA1,a1669s,5
2869,BRCA2,s326r,6
1606,VHL,y112h,1
3183,TCF3,n551k,4
3226,NTRK1,chtop-ntrk1 fusion,2
1127,MET,amplification,7
2506,BRCA1,m1775e,1
337,ROS1,c2060g,2
2301,JAK1,f958s,7
1185,PIK3CA,q60k,5
1371,AKT2,r170w,7
2265,PTEN,h93r,4
2862,BRCA2,c554w,6
230,EGFR,v742a,7
584,SMAD4,l43v,1
2927,NFE2L2,g31v,7
699,CDKN2B,d86n,4
467,TP53,c229r,1
1218,PIK3CA,e542v,7
2547,BRCA1,p1859r,5
2230,PTEN,r130l,4
1436,SPOP,p94a,4
32,TERT,p704s,4
1344,AKT1,k179m,8
1098,BAP1,deletion,1
695,CDKN2B,deletion,4
3187,NRAS,t58i,2
1076,FOXA1,f400i,1
1567,ALK,l1198p,7
3215,NTRK1,tpr-ntrk1 fusion,7
310,ELF3,r331p,1
520,TP53,v197e,1
222,EGFR,d837n,2
2165,PTEN,p38l,1
660,CDKN2A,d74y,4
732,ERBB2,exon 20 insertions/deletions,7
1005,TSC1,g1035s,3
1503,FGFR4,amplification,7
2531,BRCA1,s1497a,5
1120,MET,y1003c,2
499,TP53,k291e,1
2819,BRCA2,y42c,5
2045,SOS1,m269r,7
3195,NRAS,t50i,2
2949,KDR,q472h,2
2530,BRCA1,g1738r,4
2099,CDK12,k765r,1
1920,SMO,q635e,2
2271,PTEN,d92n,4
1610,VHL,f119s,1
2668,BRCA1,p1771r,5
1024,TSC2,p1675l,4
959,KDM5C,v1075yfs*2,4
2876,BRCA2,s869l,6
2433,BRCA1,f79s,6
1665,FLT3,m737i,3
409,TP53,v197l,1
366,EPAS1,y532c,2
1666,FLT3,v194m,3
2225,PTEN,y68d,4
2778,BRCA2,l2396f,6
1875,MTOR,t1977r,7
3207,RB1,w563l,6
105,MSH6,t1219i,1
3289,RET,v648i,5
662,CDKN2A,l32p,4
1447,SPOP,n296i,1
755,ERBB2,s783p,6
2272,PTEN,k128q,4
3202,BCL2L11,truncating mutations,1
1802,ARAF,n217i,7
751,ERBB2,l755p,7
1828,PPP2R1A,s256w,1
634,CDK8,amplification,7
2749,BRAF,g596r,7
2104,AXL,amplification,2
1421,FGFR3,v555m,7
2125,CCND1,t286i,7
1600,VHL,r200w,4
87,CCNE1,overexpression,7
2000,MAP2K1,q56p,7
1111,FANCA,h492r,4
1341,AKT1,l321a,7
746,ERBB2,d821n,2
404,TP53,r342p,4
819,ERCC2,f568fs,1
1947,MEF2B,d83v,7
1397,FGFR3,d641n,7
2029,MAP2K1,r47q,7
818,ERCC2,d423n,1
59,PTPRT,r1040l,1
973,ESR1,esr1-ccdc170 fusion,7
894,PDGFRA,i562m,3
803,ERCC2,g665a,1
2302,JAK1,r724h,7
1677,FLT3,e612_f613insgyvdfreyeydlkwefrprenlef,7
553,SMAD3,y298a,1
1075,FOXA1,l455m,1
1564,ALK,d1349h,5
1585,CARM1,s217t,1
307,H3F3A,k28m,8
103,MSH6,r976h,1
1791,AR,w742l,7
3305,RUNX1,s70fsx93,4
1541,ALK,l1198f,7
2625,BRCA1,k45q,5
1130,MET,d1010h,2
83,RIT1,a77p,7
54,PTPRT,f248s,1
165,EGFR,d770_n771insnpg,7
1085,EZH2,y646s,9
2252,PTEN,s170n,4
6,CBL,v430m,5
586,SMAD4,r497h,4
2024,MAP2K1,e144k,7
1966,CTNNB1,s37c,7
3012,KIT,n822y,2
2670,BRCA1,t1691k,1
2601,BRCA1,m1400v,6
1635,MAP2K4,r134q,2
1057,EWSR1,ewsr1-fev fusion,2
1239,PIK3CD,n334k,7
1776,CREBBP,deletion,1
2570,BRCA1,d1739g,4
3131,KRAS,r164q,6
2411,FOXL2,amplification,6
3016,KIT,d579del,2
1071,FOXA1,g87r,1
1330,MLH1,k618t,5
1452,FGFR2,k517r,1
2408,NF1,deletion,4
851,ABL1,e255k,2
813,ERCC2,r487w,1
2405,NF1,r1276q,4
1887,MTOR,f2108l,2
1659,FLT3,a627t,2
874,PDGFRA,h845y,7
107,MSH6,deletion,1
1151,U2AF1,s34f,9
2476,BRCA1,v1804a,6
1100,BAP1,e685v,4
370,TP53,r273l,4
469,TP53,q144r,1
2120,CCND1,ccnd1-igh fusion,7
663,CDKN2A,d108h,1
1051,TSC2,y598c,1
48,PTPRT,promoter hypermethylation,4
2153,PTEN,e157g,4
886,PDGFRA,e996k,3
2484,BRCA1,p1776s,6
1306,MLH1,r265c,4
2215,PTEN,p95l,4
2070,TET2,r1262a,5
319,ROS1,ezr-ros1 fusion,7
1777,CREBBP,r1446h,1
1489,FGFR2,k641n,2
2930,NFE2L2,e82d,2
3254,CASP8,casp8l,4
92,TGFBR1,g52r,4
3134,KRAS,g13c,7
2274,BCOR,bcor-rara fusion,8
2337,JAK2,s1025c,6
2847,BRCA2,d806h,6
2524,BRCA1,e1836k,1
2257,PTEN,y27s,4
2827,BRCA2,p1819s,5
2414,PTPRD,truncating mutations,1
1117,FANCC,truncating mutations,1
891,PDGFRA,g829r,3
2803,BRCA2,n319t,5
2268,PTEN,r173h,4
1634,MAP2K4,n234i,4
157,EGFR,t710a,2
198,EGFR,exon 19 insertion,7
172,EGFR,e709q,2
1942,CARD11,e127g,7
194,EGFR,h773_v774insh,7
562,SMAD3,r243a,1
2298,PRDM1,deletion,1
1020,TSC2,e1552del,4
3290,RET,i852m,2
2152,PTEN,a34d,4
1405,FGFR3,k650r,2
2459,BRCA1,w1718c,4
524,TP53,g356a,6
327,ROS1,slc34a2-ros1 fusion,7
245,EGFR,a750p,7
445,TP53,h297n,5
1623,VHL,s65l,4
3067,NOTCH1,r1598p,7
3178,HNF1A,p291qfs*51,1
951,PDGFRB,kiaa1509-pdgfrb fusion,2
2532,BRCA1,n1647k,5
102,MSH6,r922*,4
2312,JAK1,g1079d,7
1752,IDH1,r100a,9
3030,KIT,e554_v559del,2
931,PDGFRB,kank1-pdgfrb fusion,7
698,CDKN2B,p40t,4
351,EPCAM,3' deletion,4
2430,BRCA1,l63f,6
2783,BRCA2,s1424c,6
569,SMAD3,d408h,4
1660,FLT3,g831e,3
2468,BRCA1,e362h,5
2163,PTEN,g129r,4
452,TP53,n235d,4
3320,RUNX1,k83e,4
3073,NOTCH1,truncating mutations in the pest domain,2
1775,CREBBP,r1563s,5
3267,RET,d631g,5
2471,BRCA1,e1794d,5
1728,RICTOR,amplification,7
2566,BRCA1,d1778y,5
2715,BRAF,k601n,7
972,ESR1,v422del,7
2158,PTEN,c136y,4
494,TP53,y236d,4
3245,DDR2,g774v,7
406,TP53,c242s,4
1954,ATM,truncating mutations,1
2294,WHSC1L1,amplification,6
2832,BRCA2,n588d,6
2105,MYOD1,l122r,2
1217,PIK3CA,i391m,5
2358,STK11,k78a,4
1106,BAP1,f81v,4
1074,FOXA1,s453fs*,2
197,EGFR,exon 20 insertion,7
827,BRIP1,deletion,1
1431,SPOP,f133v,4
2907,NF2,k79e,1
2762,BRAF,g464v,7
2057,MYC,igk-myc fusion,7
3137,KRAS,p34l,7
1143,MET,ptprz1-met fusion,2
1475,FGFR2,k526e,2
2664,BRCA1,a1843p,1
1433,SPOP,r121q,4
1761,IDH1,i130m,5
997,TSC1,g305w,3
275,EGFR,l838p,2
1521,ALK,f1174i,7
736,ERBB2,t733i,2
496,TP53,l344p,4
3167,RAF1,s259f,7
250,EGFR,i853t,4
3005,KIT,d816v,7
2128,CCND1,l283_d294del,2
2095,CDK12,k975e,5
2853,BRCA2,e462g,5
1871,MTOR,w1456r,2
2356,STK11,g163d,4
3154,KRAS,g12c,7
640,CDKN1B,v109g,6
334,ROS1,g2101a,2
1230,PIM1,l193f,1
806,ERCC2,n238s,1
403,TP53,y220c,4
1788,AR,t878a,7
3314,RUNX1,g42r,6
3164,RAF1,esrp1-raf1 fusion,7
962,ESR1,fusions,2
3151,KRAS,amplification,2
231,EGFR,e746_a750delinsq,7
859,ABL1,q252h,2
2054,MYC,myc-nick,6
2774,BRCA2,p168t,6
2103,CDK12,d887n,1
2089,AGO2,q545a,1
598,SMAD4,k507a,1
2981,KIT,d816y,7
950,PDGFRB,hip1-pdgfrb fusion,7
2903,NF2,a211d,1
1046,TSC2,a614d,4
1325,MLH1,v384d,5
2768,BRAF,t599i,7
1768,IDH2,r172g,8
3246,DDR2,i638f,6
1849,CTCF,h284n,1
3107,DNMT3A,truncating mutations,1
1763,IDH1,g70d,4
1746,MSH2,s723f,1
395,TP53,g245d,1
400,TP53,r273c,1
2129,CCND1,p287s,2
1487,FGFR2,w290_i291delinsc,7
1829,PPP2R1A,p179r,1
825,BRIP1,r173c,4
2802,BRCA2,n2436i,6
2627,BRCA1,i1766s,4
577,SMAD4,w509r,6
101,TGFBR2,deletion,1
848,ABL1,t315i,2
1576,RAD54L,g325r,4
1921,SMO,n219d,2
2704,BRAF,p490_q494del,2
2508,BRCA1,d1344h,6
616,FBXW7,s562l,3
1288,HRAS,q61k,7
123,SF3B1,e622d,9
1869,MTOR,f1888i,7
1178,PIK3CA,r93q,2
226,EGFR,a763_y764insfqea,7
2363,STK11,h174r,4
2167,PTEN,t131l,4
865,ERG,ewsr1-erg fusion,7
1290,HRAS,t58i,2
740,ERBB2,d769h,7
2282,CIC,r201w,1
2886,BRCA2,r2318q,6
1073,FOXA1,deletion,1
3271,RET,l790f,7
2113,SRC,amplification,2
2432,BRCA1,l1657p,1
2328,JAK2,r683t,6
1380,FGFR1,a263v,5
546,SMAD2,k375a,6
3275,RET,v804l,2
1525,ALK,cad-alk fusion,2
2711,BRAF,r671q,2
174,EGFR,a750_e758del,7
651,CDKN2A,d84h,4
2730,BRAF,g469v,2
807,ERCC2,amplification,2
2369,PTPN11,d61y,7
2507,BRCA1,d67y,3
2594,BRCA1,e60l,6
1465,FGFR2,a648t,1
2126,CCND1,c47s,7
2366,STK11,f354l,5
680,CDKN2A,a57v,4
2554,BRCA1,y1703s,1
2719,BRAF,v600e,7
2397,NF1,k1436q,4
1809,RHOA,t37a,2
3295,RET,f893l,4
1464,FGFR2,fgfr2-ahcyl1 fusion,7
1176,PIK3CA,e78k,6
1536,ALK,q1064r,7
377,TP53,p278s,4
2720,BRAF,agk-braf fusion,7
2493,BRCA1,s1512i,5
2520,BRCA1,i90t,6
800,ERBB4,e872k,7
1012,TSC2,l410r,4
2084,MYD88,l265p,7
2656,BRCA1,m1663k,5
204,EGFR,amplification,7
2874,BRCA2,d1420y,6
1377,AKT2,e17k,7
1676,FLT3,l611_e612inscssdneyfyvdfreyeydlkwefprenl,7
2998,KIT,m552_k558del,2
1132,MET,x1009_splice,7
3288,RET,c630r,7
2202,PTEN,a121e,4
998,TSC1,n198_f199delinsi,4
3238,NTRK3,g623r,2
2777,BRCA2,a2351g,6
2193,PTEN,r15k,4
2810,BRCA2,v1306i,6
3081,NOTCH1,fusions,2
1512,ALK,d1203n,2
1580,MPL,w515k,2
1658,FLT3,s840_n841insgs,7
429,TP53,v157d,4
2314,JAK1,y1035c,7
413,TP53,r248k,1
2655,BRCA1,c360r,5
1743,MSH2,r383*,4
3132,KRAS,g60r,7
1160,FAT1,p4309a,1
2081,TET2,s1290a,5
2235,PTEN,i33del,4
1737,MSH2,a636p,1
1211,PIK3CA,g118d,7
2926,NFE2L2,i28t,7
2004,MAP2K1,v60m,7
2450,BRCA1,s72r,6
2142,KEAP1,truncating mutations,1
928,PDGFRA,v658a,7
2001,MAP2K1,f53c,2
1822,RHOA,g17a,4
3024,KIT,k558_v559del,2
253,EGFR,v769m,2
549,SMAD2,r428a,6
2124,CCND1,t286a,7
1305,MLH1,p654l,6
2131,BCL2,igh-bcl2 fusion,7
177,EGFR,r836c,2
2439,BRCA1,deletion,1
1175,PIK3CA,v344a,2
1943,CARD11,s250p,7
2577,BRCA1,a1752v,1
2179,PTEN,m199del,4
1387,FGFR1,fusions,2
661,CDKN2A,p81l,4
2262,PTEN,p96q,4
3064,MED12,deletion,1
3099,RAC1,p29s,7
1805,ARAF,q347_a348del,7
423,TP53,r267q,1
330,ROS1,fusions,2
2995,KIT,amplification,2
538,SMAD2,w368h,5
2640,BRCA1,n1730s,5
143,EGFR,g735s,7
2709,BRAF,cul1-braf fusion,2
2023,MAP2K1,e203k,7
3263,RET,e632_l633del,7
2275,BCOR,zc3h7b-bcor fusion,8
2538,BRCA1,l1844r,5
1698,PMS2,i18v,3
398,TP53,g244s,4
1529,ALK,s1206r,7
2596,BRCA1,g1788d,1
2842,BRCA2,v2908g,5
1182,PIK3CA,t1025s,7
109,MSH6,r1095h,5
1687,FLT3,d600_l601insfreyeyd,7
2478,BRCA1,f1734s,1
2929,NFE2L2,e82v,2
2699,BRAF,g478c,4
1437,SPOP,w131a,1
2145,KEAP1,g333s,4
725,ERBB2,g776delinsvc,7
3080,NOTCH1,r1608s,5
3041,KIT,d820a,2
1682,FLT3,e598_y599insglvqvtgssdneyfyvdfreye,7
79,CCND3,t283a,7
2734,BRAF,t241p,2
1153,U2AF1,s34y,9
2911,NFE2L2,e79k,7
1574,ALK,a1234t,5
1908,SMARCA4,truncating mutations,1
1867,MTOR,e2419k,7
16,CBL,truncating mutations,1
1589,VHL,d121g,1
1559,ALK,k1062m,7
175,EGFR,v769_d770insgvv,7
1053,TSC2,l844r,1
3301,RUNX1,r177q,4
1811,RHOA,g17e,1
1710,POLE,p286r,4
3111,RAD21,truncating mutations,1
2681,BRAF,d594n,7
1445,SPOP,y87n,4
1617,VHL,w117c,4
2767,BRAF,d594e,7
386,TP53,v274f,1
2253,PTEN,k125e,4
3300,RUNX1,k83n,4
739,ERBB2,m774_a775insayvm,7
911,PDGFRA,e311_k312del,7
3100,RAC1,q61r,7
278,EGFR,g465e,2
1114,FANCA,l274p,4
3316,RUNX1,d171n,4
1916,SMO,q477e,2
1520,ALK,g1202r,7
1856,MTOR,a1519t,7
3309,RUNX1,d171g,1
1379,FGFR1,fgfr1op1-fgfr1 fusion,7
2686,BRAF,l485f,7
2475,BRCA1,r1699l,1
1795,AR,l57del,5
637,CDKN1A,s31r,6
2943,KDR,amplification,7
3145,KRAS,s65n,7
1006,TSC1,l191h,4
293,CHEK2,i157t,6
2792,BRCA2,t3349a,6
18,CBL,m374v,5
203,EGFR,l747_e749del,7
2441,BRCA1,f1761i,1
3060,MED12,exon 1 mutations,7
77,CCND3,q276*,7
296,CHEK2,s428f,1
665,CDKN2A,g35r,4
316,ROS1,amplification,2
2649,BRCA1,v191d,5
2938,NFKBIA,e14*,7
1539,ALK,t1343i,5
1174,PIK3CA,e545q,7
85,RIT1,m90i,7
2867,BRCA2,g602r,6
1485,FGFR2,a389t,5
625,FBXW7,r689q,1
2228,PTEN,t131i,4
2419,BRCA1,c44y,4
2241,PTEN,d331g,4
3248,DDR2,t654i,6
2330,JAK2,l983f,6
2291,STAT3,f384l,2
2461,BRCA1,t77m,6
576,SMAD4,d537e,4
367,EPAS1,p531a,2
757,ERBB2,c311r,7
1602,VHL,q164r,4
2368,PTPN11,deletion,4
2653,BRCA1,r1751p,1
1055,TSC2,p1709l,1
1162,ARID1B,deletion,1
969,ESR1,esr1-yap1 fusion,7
84,RIT1,a77t,2
3277,RET,d631a,5
1609,VHL,n78s,4
1284,HRAS,g13r,2
70,SHQ1,deletion,1
196,EGFR,c628y,3
2864,BRCA2,v3079i,6
1298,HRAS,g12c,2
1824,RHOA,e40w,1
691,CDKN2A,e88k,4
1294,HRAS,q22k,2
335,ROS1,cep85l-ros1 fusion,2
86,CCNE1,amplification,7
1234,PIM1,e142d,6
186,EGFR,e746v,2
2254,PTEN,i122s,4
1044,TSC2,c696y,4
190,EGFR,c620y,7
1782,AR,l702h,7
2077,TET2,k1299e,6
2916,NFE2L2,w24r,7
1537,ALK,i1250t,5
1219,PIK3CA,m1043v,7
704,ERBB2,l49h,5
3175,RAB35,a151t,7
717,ERBB2,e719k,6
2848,BRCA2,v1643a,6
2811,BRCA2,n1102y,6
763,ERBB2,l726f,2
57,PTPRT,y412f,1
563,SMAD3,r373q,4
3106,DNMT3A,deletion,1
2186,PTEN,a126g,4
574,SMAD3,y237a,3
2694,BRAF,g596v,2
1517,ALK,l1240v,7
2250,PTEN,t319del,4
1391,FGFR1,cux1-fgfr1 fusion,7
975,ESR1,s432l,3
1368,AKT2,d32h,7
3103,RAC1,g12v,7
3110,RAD21,deletion,1
627,FBXW7,t205a,2
738,ERBB2,s653c,7
2820,BRCA2,r1190w,6
2394,NF1,r1391g,4
903,PDGFRA,kif5b-pdgfra fusion,7
1198,PIK3CA,amplification,2
2759,BRAF,v600g,7
2188,PTEN,p169h,4
3007,KIT,p551_w557delinsl,2
3172,RAF1,s257w,7
1089,MDM4,amplification,7
2091,ATR,truncating mutations,1
1283,HRAS,q61h,2
1226,PIK3CB,d1067y,7
2618,BRCA1,c1787s,5
2908,NF2,q324l,5
1931,SMO,a459v,7
1441,SPOP,g75r,4
3061,MED12,g44s,9
2164,PTEN,y68h,4
2315,JAK1,f958v,7
3022,KIT,a502_y503dup,7
3186,NRAS,amplification,6
262,EGFR,e746_s752delinsa,7
1285,HRAS,g13v,2
23,CBL,s376f,4
709,ERBB2,s760a,5
1079,MDM2,amplification,7
369,TP53,s215g,4
2994,KIT,d419del,7
1124,MET,v1092i,7
2973,KIT,y578c,7
2417,BRCA1,e1735k,6
1321,MLH1,p648s,6
384,TP53,p219s,4
3070,NOTCH1,l1596h,7
2060,MYCN,p44l,2
1484,FGFR2,c278f,1
3292,RET,c634y,7
2169,PTEN,y155c,4
420,TP53,h179y,4
2875,BRCA2,t2681r,6
955,RBM10,deletion,1
2835,BRCA2,r2784w,1
110,MSH6,truncating mutations,1
3229,NTRK1,lmna-ntrk1 fusion,7
1794,AR,amplification,7
2106,B2M,m1r,4
995,TSC1,r246k,3
2883,BRCA2,t2722r,6
258,EGFR,e330k,7
2381,PTPN11,t468m,4
2395,NF1,y489c,4
2178,PTEN,p95s,4
1065,EWSR1,ewsr1-etv4 fusion,2
644,CDKN2A,e69g,4
263,EGFR,r776c,7
466,TP53,e326l,4
1205,PIK3CA,e542q,2
1382,FGFR1,znf198-fgfr1 fusion,7
1975,CTNNB1,s37y,7
2258,PTEN,m134l,4
2573,BRCA1,c1697r,4
773,ERBB3,a1131t,6
3149,KRAS,k117n,7
1628,VHL,r167q,4
2078,TET2,h1382y,6
1579,MPL,s505n,2
1335,FGF3,amplification,6
1432,SPOP,m117v,4
2799,BRCA2,e2663v,1
1119,MET,r970c,6
476,TP53,p152l,1
580,SMAD4,g508s,1
1961,NUP93,k442nfs*,1
2630,BRCA1,t1720a,5
2093,ATRX,truncating mutations,1
2944,KDR,c482r,2
2679,BRCA1,s1613g,5
631,FBXW7,copy number loss,4
2931,NFE2L2,t80r,7
3023,KIT,d820e,2
1192,PIK3CA,e542k,7
692,CDKN2A,g93w,4
1909,SMARCB1,deletion,1
1007,TSC1,l180p,4
1870,MTOR,c1483f,7
2013,MAP2K1,i103n,7
817,ERCC2,y24c,1
799,ERBB4,e542k,7
1819,RHOA,e40t,2
200,EGFR,l861q,7
2651,BRCA1,r841q,5
2663,BRCA1,p1614s,5
2496,BRCA1,m1783l,5
2825,BRCA2,s1172l,5
3055,KIT,m552_w557del,2
3276,RET,r897q,4
2654,BRCA1,c47g,4
3,CBL,n454d,3
181,EGFR,l747v,2
762,ERBB2,e321g,7
2383,PTPN11,e76a,7
2388,PTPN11,g464a,6
1366,AKT1,l202f,3
1333,MLH1,l749p,6
2421,BRCA1,truncating mutations,1
2892,BRCA2,t3211k,6
2558,BRCA1,p1806a,5
2665,BRCA1,c39s,6
3122,KRAS,g12d,7
1364,AKT1,d323h,7
1291,HRAS,f28l,7
735,ERBB2,k753a,4
556,SMAD3,d258n,4
1105,BAP1,c91a,4
184,EGFR,a750_e758delinsp,7
507,TP53,t123a,5
280,NKX2-1,trb-nkx2-1 fusion,2
3184,TCF7L2,truncating mutations,1
1894,MTOR,e1799k,7
1155,KMT2C,a1685s,4
357,EP300,d1399y,4
3308,RUNX1,r174*,7
542,SMAD2,k420a,1
2143,KEAP1,g186r,4
837,ABL1,bcr-abl1 fusion,7
2343,JAK2,amplification,7
2510,BRCA1,s1841n,1
2536,BRCA1,l165p,5
2817,BRCA2,y3098h,6
1409,FGFR3,g637w,1
304,TMPRSS2,fusions,2
1727,APC,a290t,1
2952,GNAQ,q209l,7
1367,AKT1,c77f,2
2096,CDK12,deletion,1
2733,BRAF,f468c,7
744,ERBB2,amplification,7
2209,PTEN,r130g,4
26,SHOC2,s2g,4
984,ETV6,p214l,4
2900,NF2,e106g,1
1944,CARD11,d401n,7
2083,MYD88,s243n,7
2871,BRCA2,r2659k,4
2689,BRAF,a598v,7
1328,MLH1,l622h,6
1749,MSH2,r389*,4
1318,MLH1,r217c,5
2492,BRCA1,a1708e,4
769,ERBB2,s310y,7
2137,KEAP1,s243c,4
2463,BRCA1,v1833m,1
3198,RASA1,l481f,1
715,ERBB2,e719g,6
2644,BRCA1,r71g,6
2877,BRCA2,k513r,5
1158,FAT1,deletion,4
1607,VHL,i151s,1
3241,DDR2,t654m,6
1028,TSC2,v1673d,1
338,ROS1,ccdc6-ros1 fusion,2
1209,PIK3CA,r115l,5
1924,SMO,s387n,7
2752,BRAF,akap9-braf fusion,7
477,TP53,g199r,1
94,TGFBR1,s241l,1
2456,BRCA1,p1749r,4
2861,BRCA2,r2842c,1
1967,CTNNB1,g34e,7
1612,VHL,q145h,4
99,TGFBR2,p525l,4
1877,MTOR,l2230v,7
823,BRIP1,p47a,4
1540,ALK,t1151dup,7
1764,IDH1,r49c,4
2442,BRCA1,a1823t,5
2517,BRCA1,e29v,6
2576,BRCA1,g1770v,4
53,PTPRT,n510k,1
1637,MAP2K4,r304*,4
523,TP53,i195t,1
349,CDH1,d257n,1
3153,KRAS,q61r,7
3279,RET,c634s,7
1812,RHOA,g14v,4
373,TP53,k120e,4
1429,FGFR3,fusions,2
474,TP53,i251s,1
1004,TSC1,h206d,4
1654,FLT3,y599_d600insstdneyfyvdfreyey,7
2851,BRCA2,e2856a,5
3076,NOTCH1,a1701p,7
1240,PIK3CD,e1021k,7
687,CDKN2A,s56i,4
1378,AKT2,d399n,7
1905,SMARCA4,t910m,4
1352,AKT1,g311d,8
1850,CTCF,h284p,1
422,TP53,l344r,1
1803,ARAF,s214a,2
2904,NF2,truncating mutations,1
2110,B2M,deletion,1
1126,MET,y1003f,7
2304,JAK1,y652h,7
244,EGFR,t785a,7
2512,BRCA1,e1586g,5
504,TP53,r282w,1
3230,NTRK1,mprip-ntrk1 fusion,7
3135,KRAS,wildtype,3
2852,BRCA2,s1733f,6
2860,BRCA2,r2602t,1
933,PDGFRB,nin-pdgfrb fusion,2
2447,BRCA1,v191i,5
2285,INPP4B,truncating mutations,1
1790,AR,g216r,6
1010,TSC2,s1036p,1
3117,KRAS,q22k,7
867,ERG,fusions,2
842,ABL1,e355a,2
2742,BRAF,l485_q494del,2
2030,MAP2K1,s222d,7
1324,MLH1,a120s,4
2445,BRCA1,s1651p,6
1375,AKT2,h355m,7
2746,BRAF,g466e,7
913,PDGFRA,w349c,1
685,CDKN2A,i49s,4
2682,BRAF,e501k,6
66,PTPRT,n1125i,4
960,KDM5C,overexpression,2
2227,PTEN,r159g,4
1246,PIK3R1,g376r,4
2713,BRAF,kiaa1549-braf fusion,7
236,EGFR,a767_v769dup,7
1096,MAP3K1,t779fs,1
1146,MET,e168d,7
2322,JAK2,spag9-jak2 fusion,2
1386,FGFR1,k656e,7
286,ARID2,deletion,1
1695,PMS2,r802*,1
571,SMAD3,d408e,4
1960,NUP93,exon 13 deletion,1
3044,KIT,y418_d419del,7
3142,KRAS,g12s,7
545,SMAD2,d300h,1
214,EGFR,h773dup,7
106,MSH6,g39e,5
2427,BRCA1,s4p,6
1906,SMARCA4,r1093*,4
2005,MAP2K1,k59del,7
2672,BRCA1,k45t,6
1842,IGF1R,m1255i,2
888,PDGFRA,s478p,5
3270,RET,s904f,2
2229,PTEN,f21a,4
2494,BRCA1,m1783i,5
1686,FLT3,amplification,7
3136,KRAS,a146v,7
289,BRD4,brd4-nut fusion,7
1034,TSC2,v769e,4
716,ERBB2,k753e,6
1426,FGFR3,k650n,2
3231,NTRK2,m713i,1
320,ROS1,l1947r,2
2863,BRCA2,n1228d,6
2352,AURKA,f31i,7
62,PTPRT,a1022e,4
1526,ALK,l1152r,7
2543,BRCA1,c27a,4
1227,PIK3CB,e633k,2
2683,BRAF,a728v,7
1513,ALK,ranbp2-alk fusion,7
2541,BRCA1,v1809a,5
3095,NOTCH1,a2425t,2
895,PDGFRA,y375_k455del,7
771,ERBB2,g776_v777insyvma,7
2108,B2M,m1v,4
2946,KDR,r961w,6
2454,BRCA1,l52f,3
225,EGFR,e709_t710delinsd,7
2180,PTEN,n276s,4
3219,NTRK1,bcan-ntrk1 fusion,2
2139,KEAP1,r415g,4
2795,BRCA2,t1354m,6
234,EGFR,l703p,2
1996,MAP2K1,p387s,5
2766,BRAF,l597v,7
193,EGFR,h773inslgnp,7
1903,SMARCA4,r978*,4
1926,SMO,l412f,7
297,CHEK2,r117g,4
2751,BRAF,n486_p490del,2
1618,VHL,l63p,4
1955,ATM,deletion,1
1672,FLT3,d835e,7
2345,JAK2,h538q,7
976,ESR1,y537c,7
1039,TSC2,r462c,1
2515,BRCA1,l82p,6
1857,MTOR,d2512g,3
1390,FGFR1,n546k,7
1389,FGFR1,erlin2?fgfr1 fusion,7
1275,PIK3R2,a171v,7
1035,TSC2,q1503p,1
3156,KRAS,a59g,7
3163,RAF1,s259p,7
2982,KIT,f522c,7
340,ROS1,fig-ros1 fusion,7
2491,BRCA1,w1837g,1
453,TP53,h168r,4
2204,PTEN,y65c,4
2176,PTEN,i32del,4
2406,NF1,e1356g,4
2790,BRCA2,l2106p,6
1340,AKT1,e267g,2
187,EGFR,l747_p753delinss,7
385,TP53,r249w,4
2964,KIT,a829p,2
688,CDKN2A,r79p,4
977,ESR1,y537s,7
